eps, theta_weight, weight_power, dist_bgo, rec_vs, z0_vert 
0.6, 0.125, 0, 25, 898, 473 
0.6, 0.125, 0, 50, 1294, 580 
0.6, 0.125, 0, 75, 1406, 549 
0.6, 0.125, 0, 100, 1487, 530 
0.6, 0.125, 0.25, 25, 880, 472 
0.6, 0.125, 0.25, 50, 1267, 578 
0.6, 0.125, 0.25, 75, 1398, 546 
0.6, 0.125, 0.25, 100, 1486, 529 
0.6, 0.125, 0.5, 25, 849, 477 
0.6, 0.125, 0.5, 50, 1233, 582 
0.6, 0.125, 0.5, 75, 1374, 550 
0.6, 0.125, 0.5, 100, 1468, 532 
0.6, 0.125, 0.75, 25, 811, 476 
0.6, 0.125, 0.75, 50, 1212, 582 
0.6, 0.125, 0.75, 75, 1347, 553 
0.6, 0.125, 0.75, 100, 1452, 535 
0.6, 0.125, 1, 25, 805, 480 
0.6, 0.125, 1, 50, 1195, 583 
0.6, 0.125, 1, 75, 1342, 553 
0.6, 0.125, 1, 100, 1447, 537 
0.6, 0.25, 0, 25, 898, 473 
0.6, 0.25, 0, 50, 1294, 580 
0.6, 0.25, 0, 75, 1406, 549 
0.6, 0.25, 0, 100, 1487, 530 
0.6, 0.25, 0.25, 25, 880, 472 
0.6, 0.25, 0.25, 50, 1267, 578 
0.6, 0.25, 0.25, 75, 1398, 546 
0.6, 0.25, 0.25, 100, 1486, 529 
0.6, 0.25, 0.5, 25, 849, 477 
0.6, 0.25, 0.5, 50, 1233, 582 
0.6, 0.25, 0.5, 75, 1374, 550 
0.6, 0.25, 0.5, 100, 1468, 532 
0.6, 0.25, 0.75, 25, 811, 476 
0.6, 0.25, 0.75, 50, 1212, 582 
0.6, 0.25, 0.75, 75, 1347, 553 
0.6, 0.25, 0.75, 100, 1452, 535 
0.6, 0.25, 1, 25, 805, 480 
0.6, 0.25, 1, 50, 1195, 583 
0.6, 0.25, 1, 75, 1342, 553 
0.6, 0.25, 1, 100, 1447, 537 
0.6, 0.5, 0, 25, 898, 473 
0.6, 0.5, 0, 50, 1294, 580 
0.6, 0.5, 0, 75, 1406, 549 
0.6, 0.5, 0, 100, 1487, 530 
0.6, 0.5, 0.25, 25, 880, 472 
0.6, 0.5, 0.25, 50, 1267, 578 
0.6, 0.5, 0.25, 75, 1398, 546 
0.6, 0.5, 0.25, 100, 1486, 529 
0.6, 0.5, 0.5, 25, 849, 477 
0.6, 0.5, 0.5, 50, 1233, 582 
0.6, 0.5, 0.5, 75, 1374, 550 
0.6, 0.5, 0.5, 100, 1468, 532 
0.6, 0.5, 0.75, 25, 811, 476 
0.6, 0.5, 0.75, 50, 1212, 582 
0.6, 0.5, 0.75, 75, 1347, 553 
0.6, 0.5, 0.75, 100, 1452, 535 
0.6, 0.5, 1, 25, 805, 480 
0.6, 0.5, 1, 50, 1195, 583 
0.6, 0.5, 1, 75, 1342, 553 
0.6, 0.5, 1, 100, 1447, 537 
0.6, 0.75, 0, 25, 898, 473 
0.6, 0.75, 0, 50, 1294, 580 
0.6, 0.75, 0, 75, 1406, 549 
0.6, 0.75, 0, 100, 1487, 530 
0.6, 0.75, 0.25, 25, 880, 472 
0.6, 0.75, 0.25, 50, 1267, 578 
0.6, 0.75, 0.25, 75, 1398, 546 
0.6, 0.75, 0.25, 100, 1486, 529 
0.6, 0.75, 0.5, 25, 849, 477 
0.6, 0.75, 0.5, 50, 1233, 582 
0.6, 0.75, 0.5, 75, 1374, 550 
0.6, 0.75, 0.5, 100, 1468, 532 
0.6, 0.75, 0.75, 25, 811, 476 
0.6, 0.75, 0.75, 50, 1212, 582 
0.6, 0.75, 0.75, 75, 1347, 553 
0.6, 0.75, 0.75, 100, 1452, 535 
0.6, 0.75, 1, 25, 805, 480 
0.6, 0.75, 1, 50, 1195, 583 
0.6, 0.75, 1, 75, 1342, 553 
0.6, 0.75, 1, 100, 1447, 537 
0.6, 1, 0, 25, 898, 473 
0.6, 1, 0, 50, 1294, 580 
0.6, 1, 0, 75, 1406, 549 
0.6, 1, 0, 100, 1487, 530 
0.6, 1, 0.25, 25, 880, 472 
0.6, 1, 0.25, 50, 1267, 578 
0.6, 1, 0.25, 75, 1398, 546 
0.6, 1, 0.25, 100, 1486, 529 
0.6, 1, 0.5, 25, 849, 477 
0.6, 1, 0.5, 50, 1233, 582 
0.6, 1, 0.5, 75, 1374, 550 
0.6, 1, 0.5, 100, 1468, 532 
0.6, 1, 0.75, 25, 811, 476 
0.6, 1, 0.75, 50, 1212, 582 
0.6, 1, 0.75, 75, 1347, 553 
0.6, 1, 0.75, 100, 1452, 535 
0.6, 1, 1, 25, 805, 480 
0.6, 1, 1, 50, 1195, 583 
0.6, 1, 1, 75, 1342, 553 
0.6, 1, 1, 100, 1447, 537 
0.7, 0.125, 0, 25, 906, 472 
0.7, 0.125, 0, 50, 1311, 579 
0.7, 0.125, 0, 75, 1422, 548 
0.7, 0.125, 0, 100, 1503, 527 
0.7, 0.125, 0.25, 25, 891, 472 
0.7, 0.125, 0.25, 50, 1291, 577 
0.7, 0.125, 0.25, 75, 1418, 544 
0.7, 0.125, 0.25, 100, 1501, 526 
0.7, 0.125, 0.5, 25, 865, 475 
0.7, 0.125, 0.5, 50, 1256, 579 
0.7, 0.125, 0.5, 75, 1401, 547 
0.7, 0.125, 0.5, 100, 1486, 528 
0.7, 0.125, 0.75, 25, 823, 474 
0.7, 0.125, 0.75, 50, 1230, 580 
0.7, 0.125, 0.75, 75, 1378, 551 
0.7, 0.125, 0.75, 100, 1474, 531 
0.7, 0.125, 1, 25, 807, 478 
0.7, 0.125, 1, 50, 1209, 580 
0.7, 0.125, 1, 75, 1365, 551 
0.7, 0.125, 1, 100, 1466, 533 
0.7, 0.25, 0, 25, 906, 472 
0.7, 0.25, 0, 50, 1311, 579 
0.7, 0.25, 0, 75, 1422, 548 
0.7, 0.25, 0, 100, 1503, 527 
0.7, 0.25, 0.25, 25, 891, 472 
0.7, 0.25, 0.25, 50, 1291, 577 
0.7, 0.25, 0.25, 75, 1418, 544 
0.7, 0.25, 0.25, 100, 1501, 526 
0.7, 0.25, 0.5, 25, 865, 475 
0.7, 0.25, 0.5, 50, 1256, 579 
0.7, 0.25, 0.5, 75, 1401, 547 
0.7, 0.25, 0.5, 100, 1486, 528 
0.7, 0.25, 0.75, 25, 823, 474 
0.7, 0.25, 0.75, 50, 1230, 580 
0.7, 0.25, 0.75, 75, 1378, 551 
0.7, 0.25, 0.75, 100, 1474, 531 
0.7, 0.25, 1, 25, 807, 478 
0.7, 0.25, 1, 50, 1209, 580 
0.7, 0.25, 1, 75, 1365, 551 
0.7, 0.25, 1, 100, 1466, 533 
0.7, 0.5, 0, 25, 906, 472 
0.7, 0.5, 0, 50, 1311, 579 
0.7, 0.5, 0, 75, 1422, 548 
0.7, 0.5, 0, 100, 1503, 527 
0.7, 0.5, 0.25, 25, 891, 472 
0.7, 0.5, 0.25, 50, 1291, 577 
0.7, 0.5, 0.25, 75, 1418, 544 
0.7, 0.5, 0.25, 100, 1501, 526 
0.7, 0.5, 0.5, 25, 865, 475 
0.7, 0.5, 0.5, 50, 1256, 579 
0.7, 0.5, 0.5, 75, 1401, 547 
0.7, 0.5, 0.5, 100, 1486, 528 
0.7, 0.5, 0.75, 25, 823, 474 
0.7, 0.5, 0.75, 50, 1230, 580 
0.7, 0.5, 0.75, 75, 1378, 551 
0.7, 0.5, 0.75, 100, 1474, 531 
0.7, 0.5, 1, 25, 807, 478 
0.7, 0.5, 1, 50, 1209, 580 
0.7, 0.5, 1, 75, 1365, 551 
0.7, 0.5, 1, 100, 1466, 533 
